"COUNTRY","Country","ISC11_LEVEL_CAT","Education level and programe orientation","INDICATOR","Indicator","EXPENDITURE_TYPE","Type of expenditure","REF_SECTOR","Source of funds","COUNTERPART_SECTOR","Institution type","YEAR","Year","Value","Flag Codes","Flags"
"CAN","Canada","L3","Upper secondary education (ISCED2011 level 3)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"AUS","Australia","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",15.011,,
"AUS","Australia","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"CHL","Chile","L2_C4","Lower secondary general education  (ISCED2011 level 4 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",20.366,,
"CHL","Chile","L2_C4","Lower secondary general education  (ISCED2011 level 4 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",21.783,,
"DEU","Germany","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",20.827,,
"DEU","Germany","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"BRA","Brazil","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"BRA","Brazil","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"KOR","Korea","L0_C2","Pre-primary education (ISCED2011 level 0 programme 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",22.195,,
"KOR","Korea","L0_C2","Pre-primary education (ISCED2011 level 0 programme 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"BRA","Brazil","L1T8","ISCED2011 levels 1 to 8","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"BRA","Brazil","L1T8","ISCED2011 levels 1 to 8","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"ITA","Italy","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"ITA","Italy","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"MEX","Mexico","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"M","Missing value; data cannot exist"
"MEX","Mexico","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"NOR","Norway","L1T8","ISCED2011 levels 1 to 8","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",26.758,,
"NOR","Norway","L1T8","ISCED2011 levels 1 to 8","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"MEX","Mexico","L1T8","ISCED2011 levels 1 to 8","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"M","Missing value; data cannot exist"
"MEX","Mexico","L1T8","ISCED2011 levels 1 to 8","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",15.546,,
"CZE","Czech Republic","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"IRL","Ireland","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"z","Not applicable"
"IRL","Ireland","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"FRA","France","L1T8","ISCED2011 levels 1 to 8","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",24.748,,
"FRA","France","L1T8","ISCED2011 levels 1 to 8","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"HUN","Hungary","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",23.396,,
"HUN","Hungary","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"CHE","Switzerland","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"M","Missing value; data cannot exist"
"CHE","Switzerland","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"AUS","Australia","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",27.029,,
"AUS","Australia","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"BEL","Belgium","L2_C5","Lower secondary vocational education (ISCED2011 level 2 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"BEL","Belgium","L2_C5","Lower secondary vocational education (ISCED2011 level 2 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"POL","Poland","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",25.301,,
"POL","Poland","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"ISR","Israel","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",11.546,,
"ISR","Israel","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
